"BehaviorSpace results (NetLogo 6.0.2)"
"lakeland-v2017-v00_20180104.nlogo"
"experiment_3"
"01/06/2018 15:33:53:767 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","variability_skills","variability_thresholds","removalrate","num_agents","LNSmin","Umax","level_of_variability_skills","level_of_variability_thresholds","Stochasticity","inequalityaversion","beta","flocking","speed","[step]","Fish_pop","Gold_Resource","mean [Finance] of turtles","mean [LNS] of turtles","Pollution","Gini","CumNumOpt / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumRep / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumIm / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","agt1","agt2","agt3","agt4","agt5","agt6","agt7","agt8","agt9","agt1ft","agt2ft","agt3ft","agt4ft","agt5ft","agt6ft","agt7ft","agt8ft","agt9ft","agt1mt","agt2mt","agt3mt","agt4mt","agt5mt","agt6mt","agt7mt","agt8mt","agt9mt","agt1inc","agt2inc","agt3inc","agt4inc","agt5inc","agt6inc","agt7inc","agt8inc","agt9inc","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)"
"11","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","14.752477188284853","13.385345483167429","6.033306934174167","0.008416881663860138","0.010416520726879094","0.23049000550841994","0.3097194388777555","0.002444889779559118","0.6877755511022045","6.0120240480961926E-5","3","3","2","12","48","15","2","13","2","2.6999999999999997","2.6999999999999997","1.5999999999999999","1.9","43.39999999999996","12.400000000000002","0","11.800000000000002","1.6999999999999997","0","0","0","0","0","0","0","0","0","-0.006844055262735622","0.016524984485053906","0.014226510253149166","-0.10108229068766061","0.17713762809908512","0.11285245429832472","-0.02","0.05999224709699928","0.016191971058722346","0.6877755511022045"
"12","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","15.74357990661271","13.975572780488267","6.147676819682411","0.008785612749504677","0.011211788334565055","0.21095030748936464","0.3003607214428858","0.001963927855711423","0.6975551102204409","1.2024048096192385E-4","4","10","5","9","46","9","2","13","2","3.5999999999999996","8.9","4.12980805807401","2.9999999999999996","41.09999999999996","7.497435897435896","0","11.700000000000003","1.5999999999999999","0","0","0.17019194192598802","0","0","0.10256410256410255","0","0","0","-0.007262827756995918","0.03093125939200944","0.04756348016626341","-0.058113425294445534","0.17858243653944478","0.08460700366301391","-0.02","0.060283048441643665","0.01726709181434136","0.6975551102204409"
"13","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","17.3344567127987","14.106461005538682","6.516680056143185","0.009818492882274512","0.011066841252360782","0.19787638747028352","0.29849699398797597","0.001843687374749499","0.6996392785571143","2.004008016032064E-5","4","9","4","15","46","7","2","9","4","3.5999999999999996","8.100000000000001","3.1649350649350643","10.100000000000001","41.19999999999997","5.899999999999999","0","7.8999999999999995","3.1999999999999997","0","0","0.13506493506493508","0","0","0","0","0","0","-0.0013124540173748457","0.04414440139425617","0.03785984052372961","-0.03968804737874131","0.24589065875077948","0.07295663192401886","-0.02","0.03652183159543654","0.039401708891137886","0.6996392785571143"
"14","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","15.705247971453591","13.417216881289242","6.186942450359275","0.008776434115103595","0.011113284101164843","0.2112759908918611","0.31172344689378756","0.0019438877755511021","0.686312625250501","2.004008016032064E-5","0","3","3","15","53","12","1","11","2","0","2.6999999999999997","2.4999999999999996","6.4","47.59999999999996","10.1","0","9.8","1.6999999999999997","0","0","0","0","0","0","0","0","0","0","0.014165128267820007","0.02767291608799998","-0.08833681307201247","0.21591083781589923","0.100695936926054","-0.01","0.040331106210047776","0.01659532277513386","0.686312625250501"
"15","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","14.971072791432416","14.052974990299692","6.089428239890998","0.008332781676173377","0.010426397666621911","0.2175110125604498","0.3311623246492986","0.0019438877755511021","0.66687374749499","2.004008016032064E-5","1","12","1","12","41","16","3","12","2","0.8999999999999999","10.800000000000002","0.8999999999999999","2.8","37.09999999999997","13.700000000000003","0.9999999999999999","10.800000000000002","1.6999999999999997","0","0","0","0","0","0","0","0","0","-0.003085400886346298","0.03810644701655879","0.00834429990271047","-0.09276203485113417","0.15718633040565388","0.1262849856874139","-0.019767263124914065","0.053996516615908464","0.014420363209514248","0.66687374749499"
"16","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","16.084963566807193","14.269819111839979","6.249087354007116","0.008957372758154482","0.01147984773586117","0.21499200812028954","0.29793587174348696","0.0022444889779559118","0.6997795591182365","4.008016032064128E-5","1","6","1","18","47","15","0","8","4","0.8999999999999999","5.4","0.7999999999999999","9.3","41.999999999999964","12.3340162601626","0","7.200000000000001","3.3","0","0","0","0","0","0.16598373983739834","0","0","0","-2.2237399756205173E-5","0.018894361874289792","0.010214486691468459","-0.08713743519808746","0.19297714467001303","0.13315800859315374","0","0.036797194635487133","0.03503946078068538","0.6997795591182365"
"17","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","15.358878733676065","13.598501472039503","6.0545447851192655","0.008119146241384611","0.011020573881620295","0.20176342106704298","0.29422845691382765","0.0019438877755511021","0.7038076152304609","2.004008016032064E-5","3","12","1","11","42","11","2","13","5","2.8","10.800000000000002","0.7999999999999999","4.5","37.89999999999997","9.148717948717948","0","11.700000000000003","4.1","0","0","0","0","0","0.05128205128205127","0","0","0","-0.006138976102396979","0.05698308588126919","0.005961279064729057","-0.06723373131408779","0.1502056768110962","0.08533949781121802","-0.02","0.038624999389170356","0.03922784577732681","0.7038076152304609"
"18","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","17.925431961297637","14.904815128691471","6.750525764939721","0.009946064279221787","0.01178607895520266","0.16816123511326286","0.31879759519038076","0.0017234468937875752","0.6794589178356714","2.004008016032064E-5","6","12","0","15","45","8","1","11","2","5.4","10.700000000000001","0","12.200000000000001","39.99999999999997","6.25142857142857","0.8999999999999999","9.900000000000002","1.5999999999999999","0","0","0","0","0","0.14857142857142858","0","0","0","-5.756958365079699E-4","0.06828002006526945","0","-0.02270657817588103","0.25241121658158083","0.08043842856439426","7.541909134295005E-4","0.05626319009047066","0.02156144781736141","0.6794589178356714"
"19","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","13.488148688384705","13.673079761710618","5.8056905125029825","0.006322122495899046","0.011127155773819342","0.22198405196366508","0.3318236472945892","0.0019839679358717435","0.6661923847695391","0","3","12","5","10","46","10","2","8","4","2.8","10.800000000000002","4.3999999999999995","0.8999999999999999","41.69999999999997","8.499999999999998","0","7.4","3.5999999999999996","0","0","0","0","0","0","0","0","0","-0.008746082486623626","0.015007028595630276","0.03386590103496712","-0.0932250799557146","0.1179086731974146","0.06630622043908567","-0.02","0.021336254846821605","0.028082542406005752","0.6661923847695391"
"20","true","false","0.01","100","0.1","0.2","0.5","0","true","true","0","true","3","500","15.696032005644769","13.005369144142058","6.3416133501100145","0.008207241299508939","0.013667911394766332","0.20443507474079375","0.2994188376753507","0.0020841683366733467","0.698376753507014","1.2024048096192385E-4","5","14","2","12","39","14","4","7","3","4.5","12.600000000000003","1.488607594936708","8.6","34.99999999999998","11.56054054054054","0.9999999999999999","6.300000000000001","2.5999999999999996","0","0","0.11139240506329112","0","0","0.23945945945945946","0","0","0","-0.009494629177233477","0.05479106247365628","0.01519042546172173","-0.037811310439708146","0.13761983140722137","0.12451428549749406","-0.029520035221137775","0.032415990987526004","0.02661728351126797","0.698376753507014"
