"BehaviorSpace results (NetLogo 6.0.1)"
"lakeland-v2017-v00_20180104.nlogo"
"radius_1"
"01/06/2018 14:32:11:573 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","variability_skills","variability_thresholds","variability_gamma","removalrate","num_agents","LNSmin","Umax","gamma","level_of_variability_skills","level_of_variability_thresholds","level_of_variability_gamma","Stochasticity","inequalityaversion","beta","speed","neighborhood_radius","minimum-separation","max-separate-turn","max-align-turn","max-cohere-turn","[step]","Fish_pop","Gold_Resource","mean [Finance] of turtles","mean [LNS] of turtles","Pollution","Gini","CumNumOpt / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumRep / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumInq / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","CumNumIm / (CumNumOpt + CumNumRep + CumNumInq + CumNumIm)","agt1","agt2","agt3","agt4","agt5","agt6","agt7","agt8","agt9","agt1ft","agt2ft","agt3ft","agt4ft","agt5ft","agt6ft","agt7ft","agt8ft","agt9ft","agt1mt","agt2mt","agt3mt","agt4mt","agt5mt","agt6mt","agt7mt","agt8mt","agt9mt","agt1inc","agt2inc","agt3inc","agt4inc","agt5inc","agt6inc","agt7inc","agt8inc","agt9inc"
"11","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","37.86258293252607","22.47298665458775","9.070424723758602","0.06630911543641399","0.013032132037727474","0.23562819383146633","0.7766132264529058","0.03625250501002004","0.1706012024048096","0.016533066132264528","2","5","2","14","45","11","6","11","4","1.5999999999999999","3.1999999999999997","1.2435309499314129","10.100000000000001","29.04999915322554","6.497667696477421","4.499999999999999","6.8874487304687495","2.499998474096646","0","0","0","0","0","0.11805358835108648","0","0","0","0.011784757201027117","0.06811254567008082","0.0436750483450779","0.09049943539995453","0.5953465438034182","0.23635608261442825","0.04117799412049508","0.1447280942189061","0.08584357986680073"
"12","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","34.93397086722154","22.704070494903767","8.92942969107473","0.06472321839146612","0.015710248820137114","0.23183827081205868","0.7385571142284569","0.03555110220440882","0.2020440881763527","0.023847695390781562","2","10","2","9","44","14","3","13","3","1.5999999999999999","6.499999999999999","1.2","6.7","28.400000000000002","8.347197208598335","2.3","8.399999999999999","1.6521502387826636","0","0","0","0","0","0.04575799422984509","0","0","0.050695707705931084","0.012036229441845812","0.1107560608475283","0.041995559482144625","0.042056445765251686","0.5266921939124516","0.2685849259949027","0.017469896626232176","0.16108278614794722","0.05399523913488567"
"13","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","31.284515645714624","23.031179077550345","8.533467429872033","0.061115686665875975","0.014169673380724033","0.21880895243869306","0.7693987975951904","0.03745490981963928","0.16879759519038076","0.02434869739478958","1","11","4","9","41","15","1","15","3","0.7999999999999999","7.6000000000000005","2.397734177821037","6.999999999999999","27","8.998089560303889","0.7","9.6","1.7999999999999998","0","0","0.03011023037159169","0","0","0.02509226146840074","0","0","0","0.006301619043816523","0.12086068011011716","0.07161361943006862","0.04579839235709597","0.4192555848769345","0.25017880607772663","0.004762983681440944","0.15171505090926374","0.05014964312374459"
"14","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","32.6459362246123","20.672077863520233","8.682537933089982","0.06161010084322035","0.01523932302912528","0.2469022474299837","0.7232865731462926","0.035791583166332665","0.2160120240480962","0.024909819639278557","2","13","1","10","39","18","3","10","4","1.5999999999999999","8.499999999999998","0.6","7.699999999999999","25.599321532462262","10.862536041092733","2.3","6.499999999999999","2.360674322062767","0","0","0","0","2.9824631367502584E-4","0.004577397564996566","0","0","0.023188259485690216","0.007344028932045965","0.15081886548715973","0.01668549898945193","0.037785286332345236","0.4213627267939689","0.31631976920650307","0.01433978459109908","0.11106777986722391","0.07180817789092095"
"15","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","36.13503208130119","24.355848541481716","8.937939361385798","0.06609458882841898","0.011867129195206114","0.2550797527536724","0.782244488977956","0.03719438877755511","0.16198396793587175","0.018577154308617234","3","13","3","13","43","10","2","9","4","2.0999999999999996","8.299999999265966","1.7288557832469675","9.399999999999999","27.33333333205025","6.008025851732562","1.4","5.8","2.4333251953125","0","5.338802514110838E-10","0.04277168292249693","0","4.2685618030718237E-10","1.7801920763472968E-6","0","0","5.746134443100365E-21","0.01828436112157692","0.1921461309958023","0.0568918485580606","0.06519940064326099","0.5413351646352867","0.2153072573444755","0.009837955373204007","0.08864501294243447","0.08536717708342907"
"16","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","35.34389904345465","24.00462725855313","9.012479896994792","0.0650630465473842","0.01447969698684271","0.23376403864443734","0.7354308617234468","0.037294589178356714","0.20693386773547096","0.02034068136272545","3","14","2","13","38","11","3","13","3","2.2","9.013552080402773","1.1152666084035805","9.699999999999998","24.641370337028828","6.599997414943472","2.2","8.167083872966213","1.7999999999999998","0","1.8602094023663086E-4","0.04165773214504094","0","0","2.3336513009163225E-6","0","1.945665685929251E-4","0","0.018241370135761242","0.17416821544492467","0.034983208745801284","0.0738054849740979","0.45478731126254124","0.21671401111954394","0.01707483898063432","0.21207113074446451","0.05473809217623381"
"17","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","36.01903683129905","25.89402108152517","9.067564351946421","0.06655889141125543","0.012970112119975908","0.22638430747685492","0.7343286573146293","0.036953907815631265","0.20545090180360723","0.023266533066132265","4","8","2","11","46","12","1","11","5","3.0999999999999996","5.199999999999999","1.2","8.1","29.695148233296038","7.095067632104558","0.7","7.172923784824282","2.898803365275367","0","0","0","0","0.002469545325629742","0.001584725716595064","0","0.007491829128253332","0","0.024842761894692277","0.1097442280855945","0.043038454937272194","0.06402865932364911","0.5680034358155674","0.24681889616044103","0.004919114783623448","0.13704946950875066","0.09994633614082962"
"18","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","38.124310575533364","24.613789791230136","9.127304720245352","0.06739325872493812","0.012722775138637236","0.2485296686482939","0.75937875751503","0.03547094188376754","0.18569138276553107","0.019458917835671344","3","5","3","17","45","10","1","13","3","2.0999999999999996","3.3641857158760136","1.7999999999999998","12.199999999999996","28.52627908788259","6.091124527873262","0.7","8.477907663816238","1.5899999999999999","0","0","0","0","0.029683453236549563","1.027805635210342E-6","0","0","0","0.02216902785193274","0.05968363119387021","0.0693722237105586","0.09798429175010781","0.6211426218033604","0.22712629773008275","0.0045488458605174795","0.1792108687913221","0.055644595953399725"
"19","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","33.394384656013244","20.70665769864275","8.642419480219889","0.06250824245607972","0.01419761296553868","0.24073310563531153","0.7598997995991984","0.03775551102204409","0.18248496993987975","0.019859719438877755","1","15","5","9","36","16","4","13","1","0.7999999999999999","9.899999999999997","3.0369223484232246","6.999999999999999","23.600000000000005","9.744113546804284","3","8.399999928446837","0.6","0","0","0.0029564442179795427","0","0","0.029699266604358003","0","5.755931881092973E-8","0","0.005038317769495659","0.15760478652388374","0.09925158594046306","0.04562943554090066","0.3972460679855768","0.29615248916309317","0.017976950901777575","0.14590737224977052","0.017551776431355214"
"20","true","false","false","0.01","100","0.1","0.2","0.5","0.5","0","0","true","false","0","0","10","1","1.5","6","5.75","500","37.25960485259134","22.81408692622598","9.10748209901935","0.0667628555929348","0.012506272520227747","0.24004973062408475","0.755190380761523","0.03885771543086172","0.18979959919839678","0.016152304609218435","4","5","4","7","50","10","7","11","2","2.8","3.2","2.4","5.199999999999999","32.034489606367714","5.953514434496912","5.2","7","1.2333007811992005","0","0","0","0","0","0","0","0","5.7006729005454026E-11","0.020783839085491584","0.06266401935900909","0.0854646444548249","0.041673617024671566","0.6488487567087455","0.2090371514138554","0.04095729335529693","0.1564594751581022","0.04190463393682879"
